"Country";"Data";"Device ID";"Timestamp"
"";"b92a007001171717176d0eda";"0034EF62";"2021-04-25 22:24:17"
"";"b92a0070043c3c3c3c6f0fd9";"0034EF62";"2021-04-25 22:21:05"
"";"b92a0070013c3c3c3c7011d8";"0034EF62";"2021-04-25 21:06:15"
"";"b92a007001171717177013d7";"0034EF62";"2021-04-25 19:06:13"
"";"b92a007001050505057119d6";"0034EF62";"2021-04-25 17:06:12"
"";"b92a00700119191919701bd5";"0034EF62";"2021-04-25 15:06:11"
"";"b92a0070011e1e1e1e7016d4";"0034EF62";"2021-04-25 13:06:09"
"";"b92a0070011d1d1d1d7015d3";"0034EF62";"2021-04-25 11:06:08"
"";"b92a0070013c3c3c3c6e0cd2";"0034EF62";"2021-04-25 09:06:07"
"";"b92a007001202020206e0cd1";"0034EF62";"2021-04-25 07:06:08"
"";"b92a0070011d1d1d1d6e0dd0";"0034EF62";"2021-04-25 05:06:04"
"";"b92a0070011d1d1d1d6e0ccf";"0034EF62";"2021-04-25 03:06:02"
"";"b92a0070011d1d1d1d6f0fce";"0034EF62";"2021-04-25 01:06:24"
"";"b92a0070011d1d1d1d6f10cd";"0034EF62";"2021-04-24 23:06:21"
"";"b92a0070011e1e1e1e7011cc";"0034EF62";"2021-04-24 21:06:19"
"";"b92a0070011f1f1f1f7016cb";"0034EF62";"2021-04-24 19:06:17"
"";"b92a007001202020207018ca";"0034EF62";"2021-04-24 17:06:16"
"";"b92a0070011d1d1d1d7019c9";"0034EF62";"2021-04-24 15:06:15"
"";"b92a007001202020206f18c8";"0034EF62";"2021-04-24 13:06:13"
"";"b92a007001202020206d17c7";"0034EF62";"2021-04-24 12:31:14"
"";"b92a007004232323237015c6";"0034EF62";"2021-04-24 12:28:09"
"";"b92a007001232323236f13c5";"0034EF62";"2021-04-24 11:06:13"
"";"b92a0070010c0c0c0c6c10c4";"0034EF62";"2021-04-24 09:59:22"
"";"b92a0070040a0a0a0a6e10c3";"0034EF62";"2021-04-24 09:56:17"
